0 0 31286.71 -2.15 99 0 15902.4
-5 0 31285.72 1.3 99 0 20044.7
-10 0 31283.89 -2.6 98 0 20110.2
-15 0 31282.6 3.65 67 0 20626.4
-20 0 31281.96 2.3 98 0 20650.3
-25 0 31280.61 2.1 99 0 20710.9
-25 5 31282.42 -4.7 77 0 21007.6
-20 5 31283.69 -5.2 99 0 21046.8
-15 5 31283.5 -6.4 99 0 21102.4
-10 5 31284.44 -2.7 98 0 21122.2
-5 5 31284.6 -2.35 99 0 21138.9
0 5 31280.56 -21.45 99 0 21157.6
0 10 31286.75 2.6 98 0 21433.5
-5 10 31284.39 -4.9 99 0 21621.4
-10 10 31285.76 -3.4 99 0 21641.5
-15 10 31287.28 0.85 99 0 21704.2
-20 10 31287.46 -1.9 98 0 21726.2
-25 10 31288.56 -1.95 98 0 21740.9
-25 15 31294.43 -8.5 99 0 21853.5
-25 15 31295.51 -4.3 99 0 21941.4
-20 15 31288.65 -12.5 98 0 22002.8
-15 15 31286.6 -6.2 98 0 22017.5
-10 15 31285.73 -3.3 98 0 22032.9
-5 15 31284.86 -1.9 98 0 22046.7
0 15 31256.52 -139.2 99 0 22108.9
0 20 31282.72 -5.9 99 0 22213.1
-5 20 31282.05 -21.45 99 0 22239.9
-10 20 31282.57 -6.3 99 0 22258.6
-15 20 31284.15 -4.15 99 0 22316.4
-20 20 31287.72 -3.45 99 0 22333.9
-25 20 31291.7 -11.95 99 0 22550.9
0 25 31281.49 -2.85 98 0 22756.8
-5 25 31281.12 -4 98 0 22816.9
-10 25 31280.7 -8.1 68 0 22831.5
-15 25 31281.74 -9.15 99 0 22846.2
-20 25 31284.02 -4.6 46 0 22903.8
-25 25 31283.84 -31.8 46 0 22920.5
-30 25 31290.45 -23.55 26 0 22934.9
-35 25 31299.39 0.8 78 0 23025.8
-35 30 31297.56 4.25 66 0 23052.9
-30 30 31293.61 -4.65 46 0 23128.1
-25 30 31287.91 -9 58 0 23140.8
-20 30 31284.82 -2.9 49 0 23155.7
-15 30 31280.46 -10.75 46 0 23208.9
-10 30 31279.85 -7.6 66 0 23222.2
-5 30 31283.09 8.4 26 0 23244.6
0 30 31281.75 -0.55 98 0 23301.2
0 35 31281.04 -6.15 36 0 23326.7
-5 35 31282.4 -1.25 98 0 23345.7
-10 35 31281.72 -2.8 99 0 23358.8
-15 35 31283.15 1.2 99 0 23413.2
-20 35 31283.2 0.5 99 0 23428.8
-25 35 31282.86 -2.85 99 0 23442.3
-30 35 31285.63 6.15 98 0 23455.1
-35 35 31287.96 -6.8 99 0 23508.5
-40 35 31290.4 -9.3 99 0 23527.6
-40 40 31283.1 -6.3 99 0 23551.1
-35 40 31284.87 7.95 37 0 23607.6
-30 40 31282.87 -2.75 45 0 23621.7
-25 40 31284.96 3.15 35 0 23632.7
-20 40 31282.92 -5.5 36 0 23644.2
-15 40 31281.99 -1.95 98 0 23654.5
